120350966;JOHN FAHEY;GOD, TIME AND CAUSALITY;CD;occasion;M;M;SHANACHIE RECORDS SH 97006;USA;1989;1;15.80;EUR;https://img.cdandlp.com/2021/03/imgL/120350966.jpg
120350967;IAN BROWN . ( EX THE STONE ROSES );TIME IS MY EVERYTHING . 3' 52' TIME IS MY EVERYTHING ( UNKLE RECONSTRUCTION ) . 4' 40';CD;occasion;M;EX;FICTION POLYDOR 9869961;EU;2004;1;8.80;EUR;https://img.cdandlp.com/2021/03/imgL/120350967.jpg
120350968;BILL NELSON'S RED NOISE;FURNITURE MUSIC - WONDERTOYS THAT LAST FOREVER - ACQUITTED BY MIRRORS VINYL ROUGE;45T (SP 2 titres);occasion;NA;EX;EMI HARVEST HAR 5176;England;1979;1;7.00;EUR;https://img.cdandlp.com/2021/03/imgL/120350968.jpg
120350969;JOE COCKER . ( TONY JOE WHITE . JEFF LYNNE );NIGHT CALLS - OUT OF THE RAIN - NOT TOO YOUNG TO DIE OF A BROKEN HEART;CD;occasion;M;M;CAPITOL RECORDS Q SOUND 2045232;Holland;1991;1;6.00;EUR;https://img.cdandlp.com/2021/03/imgL/120350969.jpg
120350970;LEONARD COHEN;COHEN LIVE . LEONARD COHEN IN CONCERT;CD;occasion;M;M;COLUMBIA COL.477171 2;Austria;1994;1;8.80;EUR;https://img.cdandlp.com/2021/03/imgL/120350970.jpg
120350971;RICHARD PINHAS ( EX HELDON ) . JOHN LIVENGOOD;CYBORG SALLY;CD;occasion;M;M;TANGRAM WMD / WM 334 . 852 015;France;1994;1;25.80;EUR;https://img.cdandlp.com/2021/03/imgL/120350971.jpg
120352164;113 . REDA TALIANI . MOLARE;PARTIR LOIN ( FEATURING REDA TALIANI ) - ON EST ENSEMBLE ( FEATURING MOLARE ) + 2 CLIPS VIDEO;CD single;Neuf;S;S;SONY BMG 88697039402;U.E.;2006;1;12.50;EUR;https://img.cdandlp.com/2021/03/imgL/120352164.jpg
120352165;113 REDA TALIANI MOLARE;PARTIR LOIN ( FEATURING REDA TALIANI ) - ON EST ENSEMBLE ( FEATURING MOLARE ) + 2 CLIPS VIDEO;CD single;occasion;M;M;SONY BMG 88697039402;U.E.;2006;1;11.50;EUR;https://img.cdandlp.com/2021/03/imgL/120352165.jpg
120352166;3RD EDGE;KNOW YOU WANNA PROMO . MONOTITRE;CD single;occasion;M;M;PARLOPHONE . OZONE / PROMO;EU;2002;1;5.80;EUR;https://img.cdandlp.com/2021/03/imgL/120352166.jpg
120352167;INFERNAL;A TO THE B ( RADIO VERSION ) . 3' 37' - A TO THE B ( EXTENDED VERSION ) . 6' 14';CD single;occasion;M;M;BORDER BREAKERS 2977500210 1;France;2005;1;6.00;EUR;https://img.cdandlp.com/2021/03/imgL/120352167.jpg
120352168;INFERNAL;A TO THE B ( RADIO VERSION ) . 3' 37' - A TO THE B ( EXTENDED VERSION ) . 6' 14';CD single;Neuf;S;S;BORDER BREAKERS 2977500210 1;France;2005;1;6.50;EUR;https://img.cdandlp.com/2021/03/imgL/120352168.jpg
120352169;21ST CENTURY GIRLS;21ST CENTURY GIRLS ( ORIGINAL + ACOUSTIC + PAUL OAKENFOLD TECHNO MIX ) - IF YOU'RE MAD ENOUGH;CD;occasion;M;M;EMI RECORDS 7243 8 87182 2 6;E.U.;1999;1;8.30;EUR;https://img.cdandlp.com/2021/03/imgL/120352169.jpg
120352170;CAT POWER . ( CHAN MARSHALL );JUKEBOX;CD;occasion;M;M;MARADOR RECORDS OLE 754 2;-;2008;1;10.60;EUR;https://img.cdandlp.com/2021/03/imgL/120352170.jpg
120352171;EVANESCENCE;GOING UNDER ( ALBUM VERSION ) - GOING UNDER ( LIVE ACOUSTIC VERSION ) + 1 + VIDEO VERSION;CD;occasion;M;M;WIND-UP RECORDS WIN 674086 2;Austria;2003;1;12.50;EUR;https://img.cdandlp.com/2021/03/imgL/120352171.jpg
120352172;EVANESCENCE;MY IMMORTAL ( BAND VERSION ) - MY IMMORTAL ( ALBUM VERSION ) - HAUNTED ( LIVE ) + 1;CD;occasion;M;M;WIND-UP RECORDS 674528 2;-;2003;1;9.00;EUR;https://img.cdandlp.com/2021/03/imgL/120352172.jpg
120352173;FRAY (THE);HOW TO SAVE A LIFE ( ALBUM VERSION ) . 4' 20' - SHE IS ( ACCOUSTIC VERSION ) . 3' 26';CD single;occasion;M;M;EPIC 88697 14456 2;E.U.;2007;1;5.60;EUR;https://img.cdandlp.com/2021/03/imgL/120352173.jpg
120352174;SPENCER BOHREN;PRESENT TENSE;CD;occasion;M;M;S.M.A.L.L. LOFT RECORDS SMA484133 2;Autriche;1996;1;11.00;EUR;https://img.cdandlp.com/2021/03/imgL/120352174.jpg
120352175;FOURMOST ( LES ) . [ BEATLES ];HELLO LITTLE GIRL - JUST IN CASE - I'M IN LOVE - RESPECTABLE;CD Maxi;occasion;M;EX;ODEON SOE 3748 / 3930248;France;1995;1;11.00;EUR;https://img.cdandlp.com/2021/03/imgL/120352175.jpg
120352176;JOY GRUTTMANN ( SCHNAPPI );SCHNAPPI DAS KLEINE KROKODIL ( ORIGINAL MIX + KAIRO POP MIX + KLEINER SCHNAPPER MIX ) + CLIP VIDEO;CD Maxi;Neuf;S;S;UNIVERSALMUSIC DOMESTIC 987 321 8;EU;2005;1;7.00;EUR;https://img.cdandlp.com/2021/03/imgL/120352176.jpg
120354194;DOMINIQUE A FRANCOIZ ' BRRR ' BREUT;LE TWENTY BAR - FELIX - TEENAGE KICKS - EN FIN DEMISSIONNAIRE PROMO;CD;occasion;EX;EX;LITHIUM VISA 3502;Holland;1995;1;12.00;EUR;https://img.cdandlp.com/2021/03/imgL/120354194.jpg
120354195;MARIN MONSTER . ( MAITRE GIMS );MARIN MONSTER [ MAITRE GIMS sur 1 TITRE ];CD;occasion;M;M;MONSTRE MARIN / POLYDOR 4706833;U.E.;2014;1;9.20;EUR;https://img.cdandlp.com/2021/03/imgL/120354195.jpg
120354196;CIARA . LUDACRIS . M. POKORA;OH [ FEATURING LUDACRIS ] - OH [ FEATURING M. POKORA ] - KARDINAL BEATS RADIO EDIT;CD single;occasion;M;M;LAFACE RECORDS RCA 82876802312;U.E.;2005;1;7.80;EUR;https://img.cdandlp.com/2021/03/imgL/120354196.jpg
120354197;FRONT (THE) . [ MICHAEL ANTHONY FRANANO ];THE FRONT;CD;occasion;M;M;COLUMBIA CK 45260;USA;1989;1;11.80;EUR;https://img.cdandlp.com/2021/03/imgL/120354197.jpg
120354198;HOWIE B;LAST BINGO IN PARIS;CD;occasion;M;EX;MK2 MUSIC 8345106282;-;2004;1;9.20;EUR;https://img.cdandlp.com/2021/03/imgL/120354198.jpg
120354199;A-HA;ANGEL (EDIT) - THE SUN ALWAYS SHINES ON TV (LIVE) - I CALL YOUR NAME (LIVE) - EARLY MORNING (LIVE);CD;occasion;M;M;WB RECORDS WO195CD2 9362 41097 2;Germany;1993;1;12.50;EUR;https://img.cdandlp.com/2021/03/imgL/120354199.jpg
120354200;HIS LATEST FLAME;AMERICA BLUE - TONGUE TIED - FOOTSTEPS - LONDONDERRY ROAD ( ACOUSTIC VERSION );CD;occasion;M;M;LONDON FFRR RECORDS LONCD 240 / 886 727.2;England;1989;1;10.00;EUR;https://img.cdandlp.com/2021/03/imgL/120354200.jpg
120354201;HOLOPAW;QUIT + / OR FIGHT;CD;occasion;M;EX;SUB POP RECORDS SPCD 639;USA;2005;1;11.00;EUR;https://img.cdandlp.com/2021/03/imgL/120354201.jpg
120354202;BEE GEES (THE);CLAUSTROPHOBIA 50 YEARS OF GOLDEN GREATS 15 TITRES;CD;occasion;M;M;SLAM MUSIC SLAM 0082;England;1996;1;7.50;EUR;https://img.cdandlp.com/2021/03/imgL/120354202.jpg
120354203;JEFF BECK . TERRY BOZZIO . TONY HYMAS;JEFF BECK'S GUITAR SHOP WITH TERRY BOZZIO AND TONY HYMAS;CD;occasion;M;M;CBS RECORDS / EPIC 463472 2;Austria;1989;1;10.00;EUR;https://img.cdandlp.com/2021/03/imgL/120354203.jpg
